,Transportation_Expense,Distance_to_Work,Age,Daily_Work_Load_Average,Body_Mass_Index,Education,Children,Pets,Sickness,Pregnancy,Injury,Doctors_Appt,Weekday,Month,Absenteeism_Time_in_Hours,Significant_Absence
48,291,31,40,241.476,25,0,1,1,1,0,0,0,0,9,32,1
49,225,26,28,241.476,24,0,1,2,0,0,0,1,6,8,2,0
50,118,10,37,241.476,28,0,0,0,0,0,0,1,1,9,2,0
51,225,26,28,241.476,24,0,1,2,0,0,1,0,2,9,3,0
52,179,51,38,241.476,31,0,0,0,0,0,0,1,2,9,3,0
53,248,25,47,241.476,32,0,2,1,0,0,0,1,0,11,1,0
54,179,51,38,241.476,31,0,0,0,0,0,0,1,4,9,3,0
55,260,50,36,241.476,23,0,4,0,0,0,0,1,4,9,4,1
56,179,51,38,253.465,31,0,0,0,0,0,0,1,2,6,3,0
57,118,10,37,253.465,28,0,0,0,0,0,0,1,1,10,3,0
58,179,26,30,253.465,19,1,0,0,0,0,0,1,3,10,1,0
59,179,51,38,253.465,31,0,0,0,0,0,0,1,4,10,3,0
60,225,26,28,253.465,24,0,1,2,0,0,0,1,4,10,3,0
61,118,10,37,253.465,28,0,0,0,0,0,0,1,2,6,3,0
62,225,26,28,253.465,24,0,1,2,0,0,0,1,2,10,2,0
63,248,25,47,253.465,32,0,2,1,0,0,0,1,2,10,2,0
64,291,31,40,253.465,25,0,1,1,0,0,0,1,3,10,5,1
65,179,51,38,253.465,31,0,0,0,0,0,0,1,2,10,8,1
66,225,26,28,253.465,24,0,1,2,0,0,0,1,2,10,3,0
67,260,50,36,253.465,23,0,4,0,0,0,1,0,3,10,16,1
68,291,31,40,253.465,25,0,1,1,1,0,0,0,1,10,8,1
69,225,26,28,253.465,24,0,1,2,0,0,0,1,1,10,2,0
70,289,36,33,253.465,30,0,2,1,0,0,0,1,2,10,8,1
71,361,52,28,253.465,27,0,1,4,0,0,0,1,4,10,1,0
72,260,50,36,253.465,23,0,4,0,0,0,0,1,4,10,3,0
73,179,51,38,306.345,31,0,0,0,0,0,0,1,0,5,1,0
74,225,26,28,306.345,24,0,1,2,0,0,0,1,5,4,1,0
75,179,51,38,306.345,31,0,0,0,1,0,0,0,0,5,8,1
76,179,22,40,306.345,22,1,2,0,0,0,1,0,4,12,8,1
77,291,31,40,306.345,25,0,1,1,0,0,0,1,3,11,5,1
78,155,12,34,306.345,25,0,2,0,1,0,0,0,2,2,32,1
79,189,29,33,306.345,25,0,2,2,0,0,0,1,4,9,8,1
80,291,31,40,306.345,25,0,1,1,1,0,0,0,0,11,40,1
81,225,26,28,306.345,24,0,1,2,0,0,0,1,2,11,1,0
82,155,12,34,306.345,25,0,2,0,1,0,0,0,4,11,8,1
83,225,26,28,306.345,24,0,1,2,0,0,0,1,2,11,3,0
84,179,22,40,306.345,22,1,2,0,0,0,1,0,2,11,8,1
85,225,26,28,306.345,24,0,1,2,1,0,0,0,4,11,3,0
86,260,50,36,306.345,23,0,4,0,0,0,0,1,4,11,4,1
87,248,25,47,306.345,32,0,2,1,0,0,0,1,2,2,1,0
88,225,26,28,306.345,24,0,1,2,0,0,0,1,6,10,3,0
89,289,36,33,306.345,30,0,2,1,1,0,0,0,2,11,24,1
90,291,31,40,306.345,25,0,1,1,0,0,0,1,3,11,3,0
91,248,25,47,261.306,32,0,2,1,0,0,0,1,0,1,1,0
92,118,10,37,261.306,28,0,0,0,0,0,1,0,0,1,64,1
93,118,13,50,261.306,31,0,1,0,0,0,0,1,3,2,2,0
94,235,11,37,261.306,29,1,1,1,0,0,0,1,3,2,8,1
95,225,26,28,261.306,24,0,1,2,0,0,0,1,3,3,2,0
96,260,50,36,261.306,23,0,4,0,0,0,0,1,6,4,8,1
97,118,10,37,261.306,28,0,0,0,0,0,1,0,2,8,56,1
98,361,52,28,261.306,27,0,1,4,0,0,0,1,5,9,8,1
99,225,26,28,261.306,24,0,1,2,0,0,0,1,0,10,3,0
100,260,50,36,261.306,23,0,4,0,0,0,0,1,3,11,3,0
101,225,26,28,261.306,24,0,1,2,0,0,0,1,1,12,2,0
102,361,52,28,261.306,27,0,1,4,0,0,0,1,2,12,8,1
103,118,10,37,261.306,28,0,0,0,0,0,0,1,3,11,2,0
104,246,25,41,261.306,23,0,0,0,0,0,1,0,4,12,8,1
105,225,26,28,261.306,24,0,1,2,0,0,0,1,4,12,2,0
106,225,26,28,308.593,24,0,1,2,0,0,0,1,2,6,1,0
107,118,10,37,308.593,28,0,0,0,0,0,1,0,4,4,1,0
108,118,10,37,308.593,28,0,0,0,0,0,0,1,6,5,1,0
109,155,12,34,308.593,25,0,2,0,0,0,1,0,6,5,8,1
110,225,26,28,308.593,24,0,1,2,0,0,0,1,2,6,2,0
111,184,42,27,308.593,21,0,0,0,0,0,0,1,4,7,2,0
112,225,26,28,308.593,24,0,1,2,0,0,0,1,4,7,2,0
113,225,26,28,308.593,24,0,1,2,0,0,0,1,0,8,1,0
114,118,10,37,308.593,28,0,0,0,0,0,0,1,1,11,2,0
115,225,26,28,308.593,24,0,1,2,0,0,0,1,3,12,2,0
116,118,10,37,308.593,28,0,0,0,0,0,0,1,3,12,2,0
117,118,10,37,308.593,28,0,0,0,0,0,0,1,2,1,2,0
118,118,10,37,308.593,28,0,0,0,0,0,0,1,3,1,2,0
119,118,10,37,308.593,28,0,0,0,0,0,0,1,4,1,2,0
120,179,26,30,308.593,19,1,0,0,0,0,1,0,3,12,8,1
121,289,36,33,308.593,30,0,2,1,0,0,1,0,3,12,8,1
122,184,42,27,308.593,21,0,0,0,0,0,0,1,3,1,2,0
123,118,10,37,308.593,28,0,0,0,0,0,0,1,3,1,2,0
124,225,26,28,308.593,24,0,1,2,0,0,0,1,1,1,1,0
125,289,36,33,308.593,30,0,2,1,0,0,0,1,3,1,3,0
126,184,42,27,302.585,21,0,0,0,0,0,0,1,0,5,1,0
127,246,25,41,302.585,23,0,0,0,1,0,0,0,2,3,8,1
128,179,51,38,302.585,31,0,0,0,1,0,0,0,6,10,8,1
129,155,12,34,302.585,25,0,2,0,0,0,0,1,2,11,2,0
130,189,29,33,302.585,25,0,2,2,0,0,0,1,2,11,8,1
131,260,50,36,302.585,23,0,4,0,0,0,0,1,4,12,2,0
132,289,36,33,302.585,30,0,2,1,0,0,0,1,4,12,8,1
133,388,15,50,302.585,24,0,0,0,1,0,0,0,1,8,8,1
134,388,15,50,302.585,24,0,0,0,1,0,0,0,4,9,8,1
135,225,26,28,302.585,24,0,1,2,0,0,0,1,0,2,2,0
136,225,26,28,302.585,24,0,1,2,0,0,0,1,4,9,2,0
137,179,26,30,302.585,19,1,0,0,0,0,0,1,1,2,1,0
138,184,42,27,302.585,21,0,0,0,0,0,0,1,1,2,8,1
139,225,26,28,302.585,24,0,1,2,0,0,0,1,3,2,3,0
140,330,16,28,302.585,25,1,0,0,0,0,1,0,0,2,8,1
141,330,16,28,302.585,25,1,0,0,0,0,0,1,1,2,1,0
142,225,26,28,302.585,24,0,1,2,0,0,0,1,2,2,1,0
143,189,29,33,302.585,25,0,2,2,0,0,1,0,3,2,8,1
144,291,50,32,343.25300000000004,23,0,0,0,0,0,0,1,6,1,2,0
145,260,50,36,343.25300000000004,23,0,4,0,0,0,1,0,6,1,8,1
146,157,27,29,343.25300000000004,22,0,0,0,0,0,1,0,2,8,3,0
147,179,22,40,343.25300000000004,22,1,2,0,0,1,0,0,1,3,8,1
148,291,31,40,343.25300000000004,25,0,1,1,0,0,0,1,2,3,8,1
149,260,50,36,343.25300000000004,23,0,4,0,1,0,0,0,2,2,8,1
150,179,26,30,343.25300000000004,19,1,0,0,1,0,0,0,3,3,8,1
151,248,25,47,343.25300000000004,32,0,2,1,1,0,0,0,6,4,3,0
152,260,50,36,343.25300000000004,23,0,4,0,1,0,0,0,6,4,40,1
153,179,22,40,343.25300000000004,22,1,2,0,1,0,0,0,6,7,40,1
154,155,12,34,343.25300000000004,25,0,2,0,1,0,0,0,0,3,16,1
155,260,50,36,343.25300000000004,23,0,4,0,0,0,0,1,0,3,16,1
156,155,12,34,343.25300000000004,25,0,2,0,1,0,0,0,1,3,8,1
157,289,36,33,343.25300000000004,30,0,2,1,1,0,0,0,3,3,8,1
158,179,22,40,343.25300000000004,22,1,2,0,1,0,0,0,3,3,8,1
159,260,50,36,343.25300000000004,23,0,4,0,0,0,0,1,4,3,4,1
160,225,26,28,343.25300000000004,24,0,1,2,0,0,0,1,4,3,1,0
161,279,5,39,343.25300000000004,24,0,2,0,1,0,0,0,0,3,8,1
162,179,51,38,343.25300000000004,31,0,0,0,1,0,0,0,1,3,24,1
163,225,26,28,343.25300000000004,24,0,1,2,0,0,0,1,2,3,2,0
164,225,26,28,343.25300000000004,24,0,1,2,1,0,0,0,0,3,8,1
165,179,26,30,343.25300000000004,19,1,0,0,1,0,0,0,0,3,1,0
166,225,26,28,343.25300000000004,24,0,1,2,1,0,0,0,1,3,8,1
167,225,26,28,343.25300000000004,24,0,1,2,1,0,0,0,2,3,16,1
168,179,51,38,343.25300000000004,31,0,0,0,1,0,0,0,2,3,3,0
169,279,5,39,343.25300000000004,24,0,2,0,1,0,0,0,3,3,16,1
170,225,26,28,343.25300000000004,24,0,1,2,0,0,0,1,4,3,2,0
171,248,25,47,343.25300000000004,32,0,2,1,1,0,0,0,4,3,3,0
172,225,26,28,343.25300000000004,24,0,1,2,0,0,0,1,0,3,1,0
173,291,31,40,326.452,25,0,1,1,0,0,0,1,5,6,1,0
174,225,26,28,326.452,24,0,1,2,0,0,0,1,2,4,1,0
175,155,12,34,326.452,25,0,2,0,0,0,0,1,6,12,1,0
176,246,25,41,326.452,23,0,0,0,1,0,0,0,2,4,24,1
177,155,12,34,326.452,25,0,2,0,0,0,0,1,3,4,1,0
178,225,26,28,326.452,24,0,1,2,0,0,0,1,4,4,2,0
179,260,50,36,326.452,23,0,4,0,0,0,0,1,4,4,4,1
180,179,51,38,326.452,31,0,0,0,1,0,0,0,5,6,24,1
181,118,13,50,326.452,31,0,1,0,0,0,0,1,0,7,1,0
182,291,31,40,326.452,25,0,1,1,0,0,0,1,3,8,3,0
183,246,25,41,326.452,23,0,0,0,1,0,0,0,3,8,8,1
184,291,31,40,326.452,25,0,1,1,0,0,0,1,4,4,1,0
185,248,25,47,326.452,32,0,2,1,0,0,0,1,4,4,8,1
186,260,50,36,326.452,23,0,4,0,0,0,1,0,4,4,56,1
187,289,36,33,326.452,30,0,2,1,0,0,1,0,1,4,8,1
188,155,12,34,326.452,25,0,2,0,1,0,0,0,2,4,24,1
189,378,49,36,326.452,21,0,2,4,0,0,1,0,2,4,8,1
190,289,36,33,326.452,30,0,2,1,1,0,0,0,3,4,16,1
191,235,11,37,326.452,29,1,1,1,1,0,0,0,3,8,3,0
192,289,36,33,378.884,30,0,2,1,1,0,0,0,1,4,8,1
193,155,12,34,378.884,25,0,2,0,0,0,0,1,3,5,2,0
194,155,12,34,378.884,25,0,2,0,0,0,0,1,4,2,1,0
195,179,51,38,378.884,31,0,0,0,0,0,1,0,5,3,8,1
196,225,26,28,378.884,24,0,1,2,0,0,1,0,5,3,8,1
197,184,42,27,378.884,21,0,0,0,1,0,0,0,5,11,4,1
198,155,12,34,378.884,25,0,2,0,0,0,0,1,0,9,2,0
199,179,51,38,378.884,31,0,0,0,1,0,0,0,2,10,1,0
200,289,36,33,378.884,30,0,2,1,1,0,0,0,1,4,24,1
201,179,51,38,378.884,31,0,0,0,1,0,0,0,1,5,1,0
202,118,13,50,378.884,31,0,1,0,1,0,0,0,5,11,24,1
203,361,52,28,378.884,27,0,1,4,0,0,0,1,4,5,8,1
204,246,25,41,377.55,23,0,0,0,0,0,1,0,0,6,8,1
205,361,52,28,377.55,27,0,1,4,0,0,0,1,0,6,8,1
206,246,25,41,377.55,23,0,0,0,1,0,0,0,1,6,24,1
207,291,31,40,377.55,25,0,1,1,0,0,0,1,3,6,4,1
208,246,25,41,377.55,23,0,0,0,1,0,0,0,4,6,8,1
209,179,51,38,377.55,31,0,0,0,1,0,0,0,0,6,8,1
210,155,12,34,377.55,25,0,2,0,0,0,0,1,0,6,4,1
211,246,25,41,377.55,23,0,0,0,1,0,0,0,0,6,8,1
212,118,13,50,377.55,31,0,1,0,1,0,0,0,2,6,8,1
213,235,11,37,377.55,29,1,1,1,1,0,0,0,6,3,16,1
214,118,13,50,377.55,31,0,1,0,0,0,0,1,2,7,1,0
215,118,13,50,377.55,31,0,1,0,1,0,0,0,5,8,80,1
216,378,49,36,377.55,21,0,2,4,0,0,0,1,1,9,8,1
217,179,51,38,377.55,31,0,0,0,1,0,0,0,3,10,2,0
218,289,48,49,377.55,36,0,0,2,0,0,0,1,0,6,2,0
219,225,26,28,377.55,24,0,1,2,0,0,0,1,3,6,2,0
220,155,12,34,275.312,25,0,2,0,0,0,1,0,5,5,16,1
221,118,13,50,275.312,31,0,1,0,1,0,0,0,1,6,8,1
222,118,10,37,275.312,28,0,0,0,1,0,0,0,6,8,8,1
223,118,10,37,275.312,28,0,0,0,0,0,0,1,6,8,4,1
224,330,16,28,275.312,25,1,0,0,0,0,0,1,2,12,8,1
225,179,26,30,275.312,19,1,0,0,0,0,1,0,3,7,8,1
226,155,12,34,275.312,25,0,2,0,0,0,0,1,4,7,2,0
227,330,16,28,275.312,25,1,0,0,1,0,0,0,0,7,8,1
228,330,16,28,275.312,25,1,0,0,1,0,0,0,1,7,8,1
229,157,27,29,275.312,22,0,0,0,0,0,0,1,0,7,3,0
230,361,52,28,275.312,27,0,1,4,0,0,0,1,1,7,8,1
231,289,36,33,275.312,30,0,2,1,0,0,0,1,2,7,8,1
232,179,51,38,275.312,31,0,0,0,0,0,0,1,3,7,8,1
233,289,36,33,275.312,30,0,2,1,0,0,1,0,0,11,32,1
234,289,36,33,275.312,30,0,2,1,0,0,1,0,3,7,8,1
235,289,36,33,265.615,30,0,2,1,0,0,1,0,4,4,8,1
236,157,27,29,265.615,22,0,0,0,0,0,1,0,1,11,3,0
237,289,36,33,265.615,30,0,2,1,0,0,0,1,4,7,1,0
238,228,14,58,265.615,22,0,2,1,0,0,1,0,0,8,8,1
239,300,26,43,265.615,25,0,2,1,1,0,0,0,5,10,1,0
240,300,26,43,265.615,25,0,2,1,1,0,0,0,5,10,2,0
241,260,50,36,265.615,23,0,4,0,0,0,0,1,1,11,4,1
242,289,36,33,265.615,30,0,2,1,0,0,0,1,0,8,4,1
243,248,25,47,265.615,32,0,2,1,0,0,0,1,3,9,1,0
244,268,11,33,265.615,25,1,0,0,1,0,0,0,5,10,8,1
245,179,26,30,265.615,19,1,0,0,0,0,0,1,5,10,1,0
246,118,13,50,265.615,31,0,1,0,1,0,0,0,5,10,3,0
247,248,25,47,265.615,32,0,2,1,0,0,0,1,6,8,2,0
248,235,11,37,265.615,29,1,1,1,0,0,0,1,0,8,1,0
249,118,13,50,265.615,31,0,1,0,0,0,0,1,2,8,1,0
250,235,11,37,265.615,29,1,1,1,0,0,1,0,2,8,8,1
251,361,52,28,265.615,27,0,1,4,1,0,0,0,0,8,8,1
252,184,42,27,265.615,21,0,0,0,1,0,0,0,1,8,8,1
253,179,51,38,294.217,31,0,0,0,1,0,0,0,0,5,8,1
254,179,51,38,294.217,31,0,0,0,0,0,0,1,4,9,3,0
255,289,36,33,294.217,30,0,2,1,0,0,1,0,5,7,24,1
256,246,25,41,294.217,23,0,0,0,1,0,0,0,4,12,16,1
257,291,31,40,294.217,25,0,1,1,0,0,0,1,1,9,3,0
258,179,51,38,294.217,31,0,0,0,1,0,0,0,2,9,8,1
259,246,25,41,294.217,23,0,0,0,1,0,0,0,2,9,32,1
260,179,51,38,294.217,31,0,0,0,0,0,0,1,3,9,1,0
261,291,31,40,294.217,25,0,1,1,0,0,0,1,4,9,4,1
262,260,50,36,294.217,23,0,4,0,0,0,0,1,4,9,4,1
263,235,20,43,294.217,38,0,1,0,0,0,0,1,2,9,8,1
264,118,13,50,294.217,31,0,1,0,0,0,0,1,3,9,1,0
265,291,31,40,294.217,25,0,1,1,0,0,0,1,4,9,3,0
266,291,31,40,294.217,25,0,1,1,1,0,0,0,0,9,40,1
267,179,51,38,294.217,31,0,0,0,1,0,0,0,0,9,8,1
268,289,36,33,265.017,30,0,2,1,0,0,0,1,1,5,8,1
269,235,11,37,265.017,29,1,1,1,0,0,0,1,1,5,4,1
270,289,36,33,265.017,30,0,2,1,0,0,0,1,1,5,8,1
271,289,36,33,265.017,30,0,2,1,0,0,0,1,4,6,8,1
272,179,26,30,265.017,19,1,0,0,1,0,0,0,5,12,8,1
273,118,10,37,265.017,28,0,0,0,1,0,0,0,5,12,3,0
274,369,17,31,265.017,25,0,3,0,0,0,0,1,5,12,8,1
275,179,51,38,265.017,31,0,0,0,0,0,0,1,4,10,1,0
276,179,26,30,265.017,19,1,0,0,1,0,0,0,4,10,64,1
277,289,36,33,265.017,30,0,2,1,0,0,1,0,5,10,16,1
278,260,50,36,265.017,23,0,4,0,0,0,0,1,6,10,3,0
279,235,20,43,265.017,38,0,1,0,0,0,0,1,2,10,2,0
280,118,13,50,265.017,31,0,1,0,0,0,0,1,3,10,1,0
281,291,31,40,265.017,25,0,1,1,0,0,0,1,3,10,4,1
282,179,26,30,265.017,19,1,0,0,0,0,0,1,5,10,16,1
283,118,13,50,265.017,31,0,1,0,0,0,0,1,5,10,1,0
284,361,52,28,265.017,27,0,1,4,1,0,0,0,2,10,8,1
285,179,26,30,265.017,19,1,0,0,1,0,0,0,4,10,5,1
286,179,26,30,265.017,19,1,0,0,1,0,0,0,4,10,5,1
287,118,13,50,265.017,31,0,1,0,0,0,0,1,5,10,1,0
288,118,10,37,284.031,28,0,0,0,1,0,0,0,0,7,8,1
289,248,25,47,284.031,32,0,2,1,0,0,0,1,0,7,2,0
290,179,51,38,284.031,31,0,0,0,1,0,0,0,3,8,8,1
291,260,50,36,284.031,23,0,4,0,0,0,0,1,4,11,3,0
292,291,31,40,284.031,25,0,1,1,0,0,0,1,0,11,1,0
293,378,49,36,284.031,21,0,2,4,1,0,0,0,0,11,8,1
294,155,12,34,284.031,25,0,2,0,1,0,0,0,0,11,120,1
295,235,20,43,284.031,38,0,1,0,0,0,0,1,0,11,8,1
296,235,11,37,284.031,29,1,1,1,0,0,1,0,2,11,1,0
297,118,10,37,284.031,28,0,0,0,1,0,0,0,2,11,3,0
298,235,11,37,284.031,29,1,1,1,0,0,0,1,3,11,2,0
299,179,51,38,284.031,31,0,0,0,0,0,0,1,3,11,3,0
300,246,25,41,284.031,23,0,0,0,1,0,0,0,4,11,8,1
301,291,31,40,284.031,25,0,1,1,1,0,0,0,4,11,4,1
302,246,25,41,284.031,23,0,0,0,1,0,0,0,0,11,8,1
303,179,51,38,284.031,31,0,0,0,0,0,0,1,1,11,1,0
304,260,50,36,284.031,23,0,4,0,1,0,0,0,2,11,8,1
305,260,50,36,284.031,23,0,4,0,0,1,0,0,4,11,8,1
306,179,51,38,284.031,31,0,0,0,0,0,0,1,3,11,1,0
307,225,26,28,236.62900000000002,24,0,1,2,1,0,0,0,3,5,3,0
308,179,51,38,236.62900000000002,31,0,0,0,0,0,0,1,3,5,2,0
309,179,51,38,236.62900000000002,31,0,0,0,0,0,0,1,3,5,1,0
310,235,11,37,236.62900000000002,29,1,1,1,0,0,0,1,3,5,3,0
311,118,13,50,236.62900000000002,31,0,1,0,0,0,0,1,6,6,1,0
312,260,50,36,236.62900000000002,23,0,4,0,0,0,0,1,0,9,4,1
313,246,25,41,236.62900000000002,23,0,0,0,1,0,0,0,3,12,8,1
314,179,51,38,236.62900000000002,31,0,0,0,0,0,0,1,3,12,1,0
315,179,51,38,236.62900000000002,31,0,0,0,0,0,0,1,4,12,1,0
316,179,26,30,236.62900000000002,19,1,0,0,0,0,0,1,1,12,1,0
317,118,10,37,236.62900000000002,28,0,0,0,0,0,0,1,1,12,8,1
318,235,11,37,236.62900000000002,29,1,1,1,0,0,0,1,3,12,2,0
319,179,51,38,236.62900000000002,31,0,0,0,0,0,0,1,4,12,1,0
320,235,20,43,236.62900000000002,38,0,1,0,1,0,0,0,1,12,8,1
321,235,11,37,236.62900000000002,29,1,1,1,1,0,0,0,1,12,4,1
322,260,50,36,236.62900000000002,23,0,4,0,0,0,0,1,2,12,8,1
323,157,27,29,236.62900000000002,22,0,0,0,0,0,0,1,0,12,2,0
324,179,51,38,236.62900000000002,31,0,0,0,0,0,0,1,0,12,3,0
325,289,36,33,236.62900000000002,30,0,2,1,0,0,1,0,0,12,8,1
326,225,26,28,330.061,24,0,1,2,0,0,0,1,5,4,5,1
327,118,10,37,330.061,28,0,0,0,0,0,1,0,4,9,32,1
328,155,12,34,330.061,25,0,2,0,0,0,0,1,4,9,2,0
329,235,11,37,330.061,29,1,1,1,1,0,0,0,2,3,1,0
330,155,12,34,330.061,25,0,2,0,0,0,0,1,2,3,4,1
331,289,36,33,330.061,30,0,2,1,0,0,0,1,4,9,8,1
332,291,31,40,330.061,25,0,1,1,1,0,0,0,2,11,8,1
333,235,20,43,330.061,38,0,1,0,0,0,0,1,0,1,8,1
334,118,13,50,330.061,31,0,1,0,0,0,0,1,0,1,4,1
335,179,51,38,330.061,31,0,0,0,0,0,0,1,2,1,1,0
336,179,51,38,330.061,31,0,0,0,0,0,0,1,4,1,1,0
337,118,10,37,251.81799999999998,28,0,0,0,0,0,0,1,6,7,2,0
338,179,51,38,251.81799999999998,31,0,0,0,0,0,0,1,0,1,3,0
339,225,26,28,251.81799999999998,24,0,1,2,1,0,0,0,0,1,1,0
340,289,36,33,251.81799999999998,30,0,2,1,0,0,0,1,3,3,3,0
341,260,50,36,251.81799999999998,23,0,4,0,0,0,0,1,0,10,3,0
342,179,51,38,251.81799999999998,31,0,0,0,0,0,0,1,4,2,3,0
343,179,51,38,251.81799999999998,31,0,0,0,0,0,0,1,0,2,2,0
344,179,51,38,251.81799999999998,31,0,0,0,0,0,0,1,2,2,3,0
345,179,51,38,251.81799999999998,31,0,0,0,1,0,0,0,3,2,8,1
346,246,25,41,251.81799999999998,23,0,0,0,0,0,0,1,3,2,8,1
347,179,51,38,251.81799999999998,31,0,0,0,0,0,0,1,4,2,3,0
348,189,29,33,251.81799999999998,25,0,2,2,0,0,0,1,0,2,8,1
349,179,51,38,251.81799999999998,31,0,0,0,0,0,0,1,0,2,3,0
350,246,25,41,251.81799999999998,23,0,0,0,0,0,0,1,1,2,2,0
351,291,31,40,251.81799999999998,25,0,1,1,0,0,0,1,1,2,2,0
352,157,27,29,251.81799999999998,22,0,0,0,1,0,0,0,2,2,16,1
353,179,51,38,251.81799999999998,31,0,0,0,0,0,0,1,2,2,3,0
354,179,51,38,251.81799999999998,31,0,0,0,0,0,0,1,4,2,3,0
355,246,25,41,251.81799999999998,23,0,0,0,1,0,0,0,4,2,24,1
356,118,10,37,244.387,28,0,0,0,0,0,1,0,0,7,8,1
357,246,25,41,244.387,23,0,0,0,0,0,1,0,3,8,16,1
358,246,25,41,244.387,23,0,0,0,0,0,0,1,1,10,2,0
359,260,50,36,244.387,23,0,4,0,0,0,0,1,1,10,4,1
360,179,51,38,244.387,31,0,0,0,0,0,0,1,0,3,2,0
361,235,11,37,244.387,29,1,1,1,0,0,0,1,0,3,8,1
362,179,22,40,244.387,22,1,2,0,0,0,0,1,1,3,8,1
363,378,49,36,244.387,21,0,2,4,0,0,0,1,1,3,8,1
364,179,51,38,244.387,31,0,0,0,0,0,0,1,0,3,16,1
365,361,52,28,244.387,27,0,1,4,0,0,0,1,2,3,8,1
366,235,11,37,244.387,29,1,1,1,0,0,1,0,3,3,8,1
367,118,13,50,244.387,31,0,1,0,0,0,0,1,4,3,2,0
368,118,13,50,244.387,31,0,1,0,1,0,0,0,1,3,3,0
369,118,13,50,244.387,31,0,1,0,1,0,0,0,2,3,8,1
370,179,51,38,244.387,31,0,0,0,0,0,0,1,4,3,8,1
371,289,36,33,244.387,30,0,2,1,0,0,0,1,4,3,8,1
372,260,50,36,244.387,23,0,4,0,0,0,1,0,0,3,8,1
373,246,25,41,244.387,23,0,0,0,0,0,0,1,1,3,2,0
374,179,51,38,239.40900000000002,31,0,0,0,0,0,0,1,3,5,4,1
